,home_victory,home_runs,away_runs,last_week_home_win_rate_ratio,last_year_home_st_ERA,last_3_week_home_st_ERA,last_week_home_re_ERA,last_week_home_runs_ave,last_year_away_st_ERA,last_3_week_away_st_ERA,last_week_away_re_ERA,last_week_away_runs_ave,last_week_home_team_OPS,last_week_away_team_OPS,last_week_home_OPS_ratio,last_year_home_win_rate,last_year_away_win_rate,last_year_home_st_ERA_ratio,last_3_week_home_st_ERA_ratio,last_year_home_st_APP,last_year_home_st_IP,last_year_away_st_APP,last_year_away_st_IP,home_st_pitching_interval,away_st_pitching_interval,this_year_home_st_IP_div_match,this_year_away_st_IP_div_match
1086,0,1,5,9.999980000039998e-07,4.0,8.379310344827585,4.153846153846154,2.6666666666666665,6.31,5.5102040816326525,1.5882352941176472,7.2,0.6267552892716719,0.9106685633001423,0.40766590698019345,0.514,0.457,0.3879728636328102,0.603283158862505,0.0,0.0,21.0,71.0,7.0,8.0,0.631578947368421,0.4537037037037038
1087,0,2,7,0.2173920415859785,4.36,1.6363636363636362,7.253731343283582,1.5,5.59,8.181818181818182,3.857142857142857,4.0,0.5686669945892768,0.7197200243457091,0.4413790159569845,0.40700000000000003,0.606,0.4381909671977956,0.1666667345678874,27.0,171.0,7.0,37.0,7.0,12.0,0.936936936936937,0.358974358974359
1088,1,4,2,0.4285715306120991,5.91,5.91,2.3142857142857145,3.4,2.9,7.199999999999999,0.0,3.8,0.6691654624277457,0.6833737240214438,0.4947475600943589,0.451,0.457,0.6708285650786459,0.4508009228373879,13.0,67.0,25.0,158.0,21.0,9.0,0.1794871794871795,0.8018018018018018
1089,0,3,5,0.5,3.5,2.6470588235294117,7.132075471698114,2.2,2.45,2.8421052631578947,11.454545454545453,1.6,0.548018648018648,0.4975867269984917,0.5241161351237935,0.493,0.507,0.5882352644587346,0.4822335090113667,23.0,151.33333333333334,14.0,91.66666666666667,7.0,6.0,1.0512820512820513,1.236842105263158
1090,1,5,3,0.3333336111106481,3.36,5.3999999999999995,8.639999999999999,1.8,3.02,4.354838709677419,1.3846153846153846,8.4,0.5902777777777778,0.8971428571428572,0.39684657044526855,0.414,0.631,0.5266457596721756,0.5535714175878708,15.0,72.0,18.0,89.0,9.0,6.0,0.125,1.1382113821138211
1091,1,7,2,0.7826079584140216,4.0,0.75,3.2033898305084745,8.0,4.94,4.94,7.043478260869565,1.8333333333333333,0.9558016369764083,0.6203153988868275,0.6064280857499379,0.621,0.40700000000000003,0.44742730482610626,0.13181032273802362,0.0,0.0,12.0,58.333333333333336,7.0,21.0,0.3684210526315789,0.0
1092,0,1,2,0.6249998437501952,2.58,0.44999999999999996,2.0,6.833333333333333,3.84,2.454545454545454,3.724137931034483,4.0,0.8697491374976162,0.6948853615520282,0.555880071688244,0.457,0.606,0.40186918944885064,0.1549298150718018,22.0,143.0,13.0,82.0,7.0,8.0,1.2882882882882885,0.8666666666666668
1093,1,4,3,1.3333297777872592e-06,3.01,5.5,4.5,2.6666666666666665,4.14,5.586206896551723,3.4838709677419355,8.0,0.6081996945399006,0.9183511377625988,0.3984143086952119,0.514,0.44299999999999995,0.42097904308278516,0.4961119758180573,26.0,188.33333333333334,20.0,113.0,7.0,8.0,1.2393162393162394,0.6568627450980393
1094,1,8,3,0.5263157479225032,4.5,2.3823529411764706,2.4545454545454546,3.5,3.25,1.2857142857142856,1.0384615384615385,3.4,0.6737749546279492,0.614154995331466,0.5231456529519956,0.451,0.457,0.5806451404786734,0.649484454576632,25.0,158.0,26.0,169.0,7.0,6.0,1.2,0.9561403508771928
1095,1,6,4,0.3750004687482423,4.0,4.0,7.779661016949153,2.6,3.94,6.3,9.0,2.1666666666666665,0.5094594594594595,0.5121693121693122,0.49867375861706964,0.493,0.507,0.5037783365797641,0.3883495362428085,0.0,0.0,18.0,107.0,21.0,13.0,0.5333333333333333,0.7435897435897436
1096,1,2,1,0.4285715510201983,2.8,5.727272727272727,6.074999999999999,2.3333333333333335,4.5,7.8,2.547169811320755,7.5,0.6348484848484849,0.8428309525628295,0.42962530896460854,0.414,0.631,0.38356167573652716,0.42338710810136837,62.0,54.666666666666664,27.0,80.0,7.0,6.0,0.8861788617886178,0.8730158730158729
